,0,1,2,3
1243,14:07:16,62.1,36.9,116.6
501,13:54:52,26.9,37.3,191.5
502,13:54:53,26.9,37.3,272.1
503,13:54:54,26.9,37.3,265
504,13:54:55,26.9,37.3,265
505,13:54:56,26.8,37.3,264.9
506,13:54:57,26.9,37.3,264.7
507,13:54:58,26.9,37.3,264.8
508,13:54:59,26.9,37.3,264.9
509,13:55:00,26.9,37.3,265
510,13:55:01,27.1,37.3,264.9
511,13:55:02,26.9,37.3,265
512,13:55:03,26.8,37.3,265
513,13:55:04,27.3,37.3,264.9
514,13:55:05,26.9,37.3,265
515,13:55:06,26.8,37.3,265
516,13:55:07,26.9,37.3,264.8
517,13:55:08,26.9,37.3,264.7
518,13:55:09,26.9,37.3,264.8
519,13:55:10,26.9,37.3,264.9
520,13:55:11,26.9,37.3,265
521,13:55:12,26.8,37.3,264.9
522,13:55:13,27,37.3,264.9
523,13:55:14,26.8,37.3,264.9
524,13:55:15,26.9,37.3,264.9
